"Data Source","World Development Indicators",

"Last Updated Date","2015-09-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Afghanistan","AFG","Access to non-solid fuel (% of population)","EG.NSF.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.1117668151855","","","","","","","","","","13.7085556983948","","","","","","","","","","18.6112284660339","","19.480961561203","","","",
"Afghanistan","AFG","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)","EG.USE.COMM.GD.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Combustible renewables and waste (% of total energy)","EG.USE.CRNW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Pump price for diesel fuel (US$ per liter)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.27","","0.58","","0.65","","0.96","","1","","1.21","","1.19","",
"Afghanistan","AFG","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.34","","0.53","","0.68","","1.05","","1.15","","1.28","","1.07","",
"Angola","AGO","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","","","","","","","","","","0.6","","","","","","","","","","5.5","","6","","","",
"Angola","AGO","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.7936786560414","","","","","","","","","","62.7712903423357","","","","","","","","","","55.346691447267","","83","","","",
"Angola","AGO","GDP per unit of energy use (PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.80413912167421","4.78978571325012","4.53564626269009","3.37619323527549","3.52059375616316","3.94332033856861","4.30957467556669","4.59730867766807","4.9380856204523","4.89649751641572","4.98563226924478","5.0558681206228","5.54691148205178","5.49075610821213","6.03353619187891","7.52713890045816","8.51229845525405","9.99595958917334","10.6850990943707","10.1254955530929","9.95082583336896","10.3482439047698","10.7298228364401","","","",
"Angola","AGO","GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.43292642204513","7.17198254325212","6.6400884683587","4.82781108746005","4.92939418981935","5.40847400015122","5.80484061345371","6.0882050081982","6.46928677166306","6.31811553592721","6.28999893495554","6.23648689847123","6.73874783599211","6.54011308151097","6.99430193778635","8.45373181478111","9.27520575181003","10.6094846538248","11.1227366909256","10.4607703363346","10.156273356563","10.3482439047698","10.5405954429427","","","",
"Angola","AGO","Energy imports, net (% of energy use)","EG.IMP.CONS.ZS","","","","","","","","","","","","-136.789917179727","-153.693308526423","-182.757279174801","-187.075366914788","-176.525498954844","-173.974390517597","-166.830016687007","-130.490939691978","-145.520957591765","-147.653491946298","-124.340308114205","-129.536934935785","-177.162712311364","-203.69559765004","-215.487057463691","-263.269770887141","-331.783550046493","-403.089252529376","-394.395232764759","-387.018022299596","-397.266037863952","-440.718544685688","-386.724353281047","-418.093192540974","-469.11682086203","-500.369788926484","-509.598592836833","-527.237898108683","-501.643302943705","-483.423565190778","-452.470979615129","-520.886251499911","-471.93745343792","-519.10670089482","-678.79853898999","-698.653393675963","-785.553023956334","-807.916764354463","-696.362715107159","-630.296856608559","-566.789259322066","-580.204009400522","","","",
"Angola","AGO","Access to non-solid fuel, rural (% of rural population)","EG.NSF.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.0021073818207","","9.7953259944916","","","",
"Angola","AGO","Access to non-solid fuel, urban (% of urban population)","EG.NSF.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.9501458877883","","67.3851856984795","","","",
"Angola","AGO","Access to non-solid fuel (% of population)","EG.NSF.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.0510911941528","","","","","","","","","","20.932137966156","","","","","","","","","","40.4964327812195","","44.2952215671539","","","",
"Angola","AGO","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","1.35116605916565","1.41064579258248","1.69472978835487","1.74859337383873","1.98256988619515","0.903806309259497","0.916739309108117","1.02803784867323","1.06582192891216","1.12139734392974","1.11404614724437","1.1977335189696","1.06744615633057","1.09858951359899","1.20808494709243","1.19432920464363","1.16616756129073","1.12066406307365","1.11030859523597","1.05980531537834","1.10211733286676","1.19254500891685","1.22001993092398","1.21032745671157","1.20957968356208","1.19989839703831","1.10328653296935","1.32972749046756","1.06090942584439","1.04594896811357","1.10961153320043","1.18388634074484","1.18530341928373","1.61214388893025","2.08921847700556","2.28015945894589","1.99338607455402","2.30452565114794","2.08929776293501","2.34774955667021","2.49090060352306","2.39655206818845","","","",
"Angola","AGO","Fossil fuel energy consumption (% of total)","EG.USE.COMM.FO.ZS","","","","","","","","","","","","15.834196369121","21.2608056842657","20.1069410228998","20.9261042279001","17.82626378517","16.8222447142506","14.22482628079","20.3840290081998","19.9556566271436","19.9630642352265","19.1593948140793","16.6165495845697","17.6234054770716","17.0652488118416","20.307574107072","19.8912888219892","20.3842360205843","22.0179649033579","22.1032510621213","25.4803884173733","25.4828610894249","24.0980759316387","24.9646618214416","24.4396830159153","22.6215623675069","23.1755360099238","23.3864782668681","21.5075544741917","23.8716901775772","24.1827823560123","25.4079625810908","26.6232550117771","29.8552727266266","29.4774672094753","24.9834441418099","29.1321485670284","31.8019256966088","34.6447610013559","38.071437864859","39.6231118028568","38.7762231544854","38.9047614213091","","","",
"Angola","AGO","Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)","EG.USE.COMM.GD.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","134.536512703008","139.431460404329","150.600403106855","207.133208380386","202.864685089558","184.895036931312","172.270018522529","164.252024800977","154.576545343488","158.275041713565","158.982538843159","160.346684965398","148.395521592147","152.902554976766","142.973524576849","118.29095385443","107.814319893104","94.255285023622","89.9059312278647","95.595254254516","98.4613120277823","96.6347536067515","94.8713007166528","","","",
"Angola","AGO","Combustible renewables and waste (% of total energy)","EG.USE.CRNW.ZS","","","","","","","","","","","","82.8146375717133","77.3285485231518","78.1983049797031","77.3253023982612","80.1911905950961","82.2739489764899","84.8584344101019","78.5879557831431","78.9785214439442","78.9155384208437","79.7265590386764","82.1857168964607","81.3091483665978","81.8361829296287","78.4843409458356","78.9143819733672","78.449596418125","76.8613896226947","76.7864403426428","73.4598062672484","73.415038177861","74.7093460432483","73.8153341872729","74.3499895273732","76.1688266936421","75.6245505094628","75.5102498617776","77.1627180353408","75.0674003965784","74.7712820116168","73.4824385724932","72.1928466036284","68.9594349601315","68.9103889015944","72.9273373811846","68.587682025252","66.2046882288372","63.0507218978503","59.839264372206","58.0291460127154","58.7328762419915","58.6986935122322","","","",
"Angola","AGO","Energy use (kg of oil equivalent per capita)","EG.USE.PCAP.KG.OE","","","","","","","","","","","","598.160973461569","629.301934362907","611.93428653754","609.474578006799","579.811501752978","557.921711983876","535.252462233314","572.356931759296","563.095743153237","555.660592185778","540.50294482787","514.415934308796","510.121370563352","498.126082195737","512.068237838716","503.575226712691","502.598458910769","510.150590275644","508.213295047256","528.686621968086","525.10025781515","511.237051723732","512.27056633471","502.782507593994","490.614188847587","493.841366728907","494.1744842075","483.20271558976","496.301769424057","497.963029591388","506.478433077974","515.403456402902","539.446103815769","539.758607730334","509.923439711913","542.108669179197","561.550105512918","589.420121739212","620.638746306488","639.228247148886","630.491631322447","629.569632444007","","","",
"Angola","AGO","Pump price for diesel fuel (US$ per liter)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.19","","0.15","","0.13","","0.29","","0.36","","0.39","","0.43","","0.42","","0.51","",
"Angola","AGO","Pump price for gasoline (US$ per liter)","EP.PMP.SGAS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.38","","0.3","","0.19","","0.39","","0.5","","0.53","","0.65","","0.63","","0.76","",
"Albania","ALB","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","","","","","","100","","","","","","","","","","100","","100","","","",
"Albania","ALB","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","","","","","","100","","","","","","","","","","100","","100","","","",
